Date,Close,Volume,Open,High,Low
2011-05-24,38.84,70156130,35.0,42.01,30.55
2011-05-25,35.0,11750020,37.75,37.9,34.4
2011-05-26,34.77,4415791,34.45,35.45,34.0
2011-05-27,34.45,2005954,34.75,35.0,34.0
2011-05-31,33.45,3979702,34.95,35.37,32.61
2011-06-01,32.25,3719566,32.98,33.07,32.0
2011-06-02,33.52,2096972,32.06,33.75,31.55
2011-06-03,33.5,1963419,33.33,35.5,32.65
2011-06-06,34.23,1653926,33.87,34.99,33.51
2011-06-07,35.0,1424859,34.99,35.22,34.0
2011-06-08,33.29,2072667,34.48,35.25,33.1
2011-06-09,32.79,1625092,33.75,33.75,32.57
2011-06-10,31.824,1265159,32.36,32.75,31.76
2011-06-13,31.33,1100093,31.75,32.28,31.05
2011-06-14,31.6,797289,31.36,32.3,31.36
2011-06-15,30.27,2693421,31.0,31.45,29.91
2011-06-16,30.53,3081265,30.85,30.9,29.76
2011-06-17,30.81,1126334,31.03,31.25,30.24
2011-06-20,30.32,793379,30.94,31.0,29.91
2011-06-21,31.13,1304106,30.32,31.34,29.95
2011-06-22,30.71,511185,30.96,31.11,30.5
2011-06-23,31.17,844263,30.26,31.2,29.8
2011-06-24,31.55,432001,31.25,31.7675,30.51
2011-06-27,32.5,752056,31.73,33.06,31.62
2011-06-28,33.99,1251010,33.03,34.42,32.89
2011-06-29,34.78,869271,34.47,34.98,33.86
2011-06-30,35.51,1537046,34.78,35.73,34.38
2011-07-01,35.69,1059237,35.75,36.33,34.9
2011-07-05,34.085,1688151,36.2,36.3,33.79
2011-07-06,33.93,1848163,33.77,35.0,33.142
2011-07-07,34.15,1395983,34.25,34.4,33.813
2011-07-08,35.95,1747402,33.7,36.0,33.6
2011-07-11,34.13,3324304,35.35,37.09,33.9
2011-07-12,33.54,1279304,34.21,35.18,33.19
2011-07-13,34.49,908263,34.25,34.95,33.96
2011-07-14,34.17,1125627,34.89,35.26,33.3672
2011-07-15,34.99,974122,34.99,35.67,34.33
2011-07-18,35.91,1049308,35.05,35.91,34.73
2011-07-19,35.75,1332052,36.25,36.75,35.64
2011-07-20,34.99,733310,35.93,36.63,34.8
2011-07-21,34.93,451718,35.08,35.53,34.7
2011-07-22,35.65,882010,35.5,36.45,34.76
2011-07-25,36.56,821811,35.55,37.12,35.43
2011-07-26,37.45,2828701,37.15,39.67,37.0
2011-07-27,38.51,2098065,37.01,38.99,36.31
2011-07-28,37.74,3705996,38.16,38.4,32.65
2011-07-29,34.98,1991660,37.0,37.01,34.82
2011-08-01,32.79,1688181,35.38,35.95,32.14
2011-08-02,32.47,1115201,33.0,33.96,32.34
2011-08-03,34.24,1559053,32.81,34.455,31.75
2011-08-04,32.61,1056818,34.0,34.25,32.5
2011-08-05,30.83,2193260,32.72,32.9,30.5
2011-08-08,27.04,2973702,28.88,29.73,26.02
2011-08-09,29.76,1818670,27.32,29.83,26.11
2011-08-10,29.73,1138342,29.64,31.486,28.6001
2011-08-11,30.66,1830067,29.85,32.17,29.65
2011-08-12,30.66,986488,31.1,32.295,30.63
2011-08-15,30.59,735286,30.68,31.96,30.47
